gemeente,straat,huisnummer
Ruiselede,Tramweg,1
Ruiselede,Tramweg,2
Ruiselede,Tramweg,3
Ruiselede,Tramweg,4
Ruiselede,Tramweg,5
Ruiselede,Tramweg,6
Ruiselede,Tramweg,7
Ruiselede,Tramweg,8
Ruiselede,Tramweg,9
Ruiselede,Tramweg,10
Ruiselede,Tramweg,11
Ruiselede,Tramweg,12
Ruiselede,Tramweg,13
Ruiselede,Tramweg,14
Ruiselede,Tramweg,15
Ruiselede,Tramweg,16
Ruiselede,Tramweg,17
Ruiselede,Tramweg,18
Ruiselede,Tramweg,19
Ruiselede,Tramweg,20
Ruiselede,Tramweg,21
Ruiselede,Tramweg,22
Ruiselede,Tramweg,23
Ruiselede,Tramweg,24
Ruiselede,Tramweg,25
Ruiselede,Tramweg,26
Ruiselede,Tramweg,27
Ruiselede,Tramweg,28
Ruiselede,Tramweg,29
Ruiselede,Tramweg,30
Ruiselede,Tramweg,31
Ruiselede,Tramweg,32
